Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,49.276,-124.968,180,top
C2,10uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,73.66,-125.231,270,top
C3,4.7uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,55.889,-124.968,180,top
C4,100nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,49.267,-121.412,180,top
C5,10uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,69.342,-114.808,180,top
C6,1uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,67.818,-105.41,0,top
C7,10uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,72.39,-106.417,270,top
C8,100nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,76.2,-106.417,270,top
G***,LOGO,HTR_Logo,105.537,-101.981,0,top
J1,USB_B_Micro,USB_Micro-B_GCT_USB3076-30-A,41.91,-116,270,top
J2,SMA ANT,SMA_Amphenol_132289_EdgeMount,136,-106,0,top
Q1,BC817,SOT-23,60.452,-105.41,0,top
Q2,BC817,SOT-23,60.706,-114.046,180,top
R1,10k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,54.356,-103.886,180,top
R2,10k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,54.356,-107.442,180,top
R3,10k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,67.31,-110.998,180,top
U1,AMS1117-3.3,SOT-223-3_TabPin2,65.532,-122.936,90,top
U2,CP2102N-A01-GQFN28,CP2102-GQFN28,52.07,-115.57,0,top
U3,SI4432-Module,SI4432-Module,121.92,-114.554,90,top
U4,ESP32-WROOM,ESP32-WROOM,90.424,-111.506,180,top
